,code,자산,유동자산,부채,유동부채,이익잉여금,자본총계,영업이익,매출액,매출총이익,영업활동으로인한현금흐름,투자활동으로인한현금흐름,재무활동으로인한현금흐름,당기순이익,이자비용,법인세비용,매출총이익률,영업이익률,당기순이익률,roe,ebit
34,058730,240138997756,93342115293,122325946254,80935779685,89516672731,117813051502,-6860956624,195878324697,13708263108,10415325086,-49713852495,44506868557,-8054705817,1492417352,-1969800617,6.998356315945125,-3.502662499596659,-4.112096542309953,-6.836853569541286,-8532089082.0
35,293490,1148416846233,549526732004,120063259252,99084749365,188098756321,1028353586981,70995828348,378003049928,0,76559429501,-215207825717,408913480651,88399123933,176607374,11048027736,0.0,18.78181362862625,23.385822931809095,8.596179859936957,99623759043.0
36,144620,107979433511,38203249525,50598689922,43876355459,-139831897712,57380743589,-13999179317,68072744375,199838905,-8234943506,3733159209,-3288149760,-13690895946,804166511,-145166981,0.2935666937403389,-20.565028552222227,-20.11215512419981,-23.859739504359737,-13031896416.0
37,018470,274904169512,141191520676,163031549439,135002980130,9657235600,111872620073,-4028209012,332913377834,6969177710,1785102259,-1675881927,-9305320648,-8840440540,3764273416,-522090498,2.0933907058174843,-1.2099871258428607,-2.6554777094022617,-7.902237861445782,-5598257622.0
38,002070,182757633830,94460462332,95123768150,31025882755,15607766480,87633865680,3410701831,165673918669,95387516422,1123062157,-105576093386,111028538620,-56110169701,2215748161,-1330611405,57.57545737333272,2.05868362286658,-33.867835173925315,-64.02795228261348,-55225032945.0
39,085910,99294899559,49898437223,56769279817,42403948893,28356435112,42525619742,2827061377,38129773075,7404110447,8293038805,-8597630135,11901925760,152454428,694907462,315341,19.41818649808474,7.414314717895813,0.39983040995320684,0.3585001910023428,847677231.0
40,004920,44414767231,5657253732,19436779364,14996713064,-27414246067,24977987867,-2746572257,16542962819,4043458646,-2165589900,-8629859635,10016160421,-8043321598,428888130,112519708,24.442167284302833,-16.60266233473906,-48.62080442302661,-32.201639462826954,-7501913760.0
41,094170,70231514851,57423249685,40350522000,20585169057,17739174775,29880992851,2323651138,70719105589,20225781012,-9255389764,-1710182010,13437299690,795098274,588682836,1019304549,28.60016517961451,3.2857473502343506,1.1243047651378577,2.660883050187508,2403085659.0
42,006570,154247721383,70438614538,69877119758,53736506303,-2773591257,84370601625,-12333847209,132462555543,17272808765,6052010439,-2916891960,-1544946868,-16594944785,1536153913,1307801686,13.039767120749001,-9.3111952720829,-12.52802704656634,-19.669108036895548,-13750989186.0
43,023590,973711849840,335336825504,418240264993,247443066990,370651458157,555471584847,44293820333,246162181809,60109257398,61571570286,76675052803,131839880491,38692528324,5157940697,15916872330,24.418558917648628,17.993755176970307,15.718307353166852,6.965707946097285,59767341351.0
44,035720,7345506484784,1782401903517,2020061399372,1421581282550,209149712500,5325445085412,300064492177,1779194942006,1779194942006,630615476829,-257556214225,349765875905,-117878818553,4455052346,82786933724,100.0,16.865183521637288,-6.625402072023341,-2.213501719807526,-30636832483.0
45,046070,295149721636,103324223561,252674138153,237532013553,-27253916794,42475583483,-627331230,186039686308,21877021090,-1663249043,2044765139,-376178217,-13897504067,9475623977,-1997394029,11.759330239775432,-0.3372029067827039,-7.470182487833181,-32.71880672942891,-6419274119.0
46,058470,361533314540,257710373589,24192132028,21920276366,326471703418,337341182512,77881753690,201335459350,88777601577,99804058912,-7673858585,-18343883194,55378772170,6396806,18173595387,44.09436959769204,38.68258176748238,27.50572221544441,16.416250087707585,73558764363.0
