,code,자산,유동자산,부채,유동부채,이익잉여금,자본총계,영업이익,매출액,매출총이익,영업활동으로인한현금흐름,투자활동으로인한현금흐름,재무활동으로인한현금흐름,당기순이익,이자비용,법인세비용,매출총이익률,영업이익률,당기순이익률,roe,ebit
55,078000,123082935320,82293230314,13083158049,11652007139,100427267196,109999777271,546069819,36401942699,12059668643,326288497,-8691195430,-3150944667,1903927799,8241760,37447136,0,0,0,0.017308469582710196,1949616695.0
56,128820,893222348397,106653090125,444984549645,173651147003,682097669996,448237798752,2398302135,715757189595,78962650805,19173486060,-2029369189,2590042065,31857742837,12126627905,3508196025,0,0,0,0.0710733073509184,47492566767.0
57,089850,114155492903,47702390582,51218452061,36338214128,44310541988,62937040842,5866687650,82219282728,22134684324,15804133977,-9037832829,9625867174,2196857080,783035120,-149168691,0,0,0,0.034905630303068896,2830723509.0
58,090710,128704642199,38638864742,55836725364,44772222254,-8309233078,72867916835,-6382911104,19919797790,2672030530,-9172045082,-6434519079,37106193424,38932356560,1053631517,-9702301891,0,0,0,0.5342866689623816,30283686186.0
59,036670,84521834888,42420315703,9944468777,8832450163,66490438393,74577366111,14091715015,73251256889,23812225501,9978896882,-6296431514,-4262797948,10615160457,58037588,2919478508,0,0,0,0.1423375617905375,13592676553.0
60,008420,187690631639,58312155565,68606174258,40324531322,92532894436,119084457381,2798586722,152678066899,9383606414,2787128562,-10770321464,-17506249384,8612102207,1479940900,1616039323,0,0,0,0.07231927991615526,11708082430.0
61,052420,224911870894,79335227875,28134927726,12376005128,34458065466,196776943168,7236241058,79546990685,11925430681,13496136029,-33231004775,3798330874,12444789102,644671231,2137840923,0,0,0,0.06324312646413638,15227301256.0
62,060380,99035390108,55241218246,43372479167,28939333727,45893527338,55662910941,1123173427,136641985652,8300110578,8959987218,15578970110,-24185350541,5285965673,1371622243,1231792861,0,0,0,0.09496387421424778,7889380777.0
63,049430,147859440395,69987192865,7424439829,7129948691,128827934870,140435000566,14656645253,59148030497,20127126220,7945776777,1785697572,-3492161091,12404794887,1531819,3410831154,0,0,0,0.08833121968885627,15817157860.0
64,092200,382666781783,113339357600,375026054932,310040945811,-119755949470,7640726851,-40731333006,351403611897,-19354311614,95802420569,-33179436801,-63035391372,-108756202289,5635760592,-893776053,0,0,0,-14.233750847246457,-104014217750.0
65,103230,53089640093,15367570735,13327860254,5782624469,23812342839,39761779839,-858248923,33495871526,3058762669,-2179475165,1553124558,625188491,623689323,10933221,-52875902,0,0,0,0.01568564902087858,581746642.0
